SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1006827,5,1998,8,,CARAVAN,3,,1,,1,1
1006836,1,1999,6,,LUMINA,1,,1,,1,1
1006836,2,1992,9,,THUNDERBIRD,1,,1,,1,1
1006846,1,1996,29,,GRAND VOYAGER,5,,1,,1,1
1006846,2,1998,3,,528 I,1,,1,,1,1
1006846,3,1999,9,,EXPLORER,4,,1,,1,1
1006855,1,1992,6,,CORSICA,1,,1,,1,1
1006859,1,1993,18,,GRAND CHEROKEE,4,,1,,1,1
1006859,2,1990,13,,ACCORD,1,,1,,1,1
1006865,1,1998,6,,BLAZER,4,,1,,1,1
1006865,2,1996,6,,METRO,1,,1,,1,1
1006865,3,1997,8,,DAKOTA,7,,1,,1,1
1006871,1,1999,38,,BEETLE,1,,1,,1,1
1006871,2,1996,9,,EXPLORER,4,,1,,1,1
1006871,3,1992,29,,LASER,2,,1,,1,1
1006890,1,1996,13,,CIVIC,1,,1,,1,1
1006890,2,1997,9,,ASPIRE,1,,1,,1,1
1006906,1,1993,13,,ACCORD,1,,1,,1,1
1006906,2,1999,13,,CRV,4,,1,,1,1
1006916,1,1985,24,,COUGAR,1,,1,,1,1
1006916,2,1987,13,,ACCORD,1,,1,,1,1
1006924,1,1992,37,,CAMRY,1,,1,,1,1
1006931,1,1996,37,,COROLLA,1,,1,,1,1
1006931,2,1997,37,,CAMRY,1,,1,,1,1
1006931,3,1997,13,,CIVIC,1,,1,,1,1
1006933,1,1990,23,,VAN,3,,1,,1,1
1006933,2,1992,23,,VAN,3,,1,,1,1
1006949,1,1997,37,,RAV4,4,,1,,1,1
1006949,2,1996,28,,CUTLASS,1,,1,,1,1
1006960,1,1995,6,,BERETTA,1,,1,,1,1
1006960,2,1996,38,,JETTA,1,,1,,1,1
1006966,1,1993,35,,LEGACY,1,,1,,1,1
1006966,2,1997,35,,OUTBACK,6,,1,,1,1
1006968,1,9999,9,,WINDSTAR,3,,1,,1,1
1006968,2,1992,6,,PICK UP,7,,1,,1,1
1006992,1,1992,9,,RANGER,7,,1,,1,1
1006992,2,1987,28,,NINETY-EIGHT,1,,1,,1,1
1006992,3,1976,7,,NEW YORKER,1,,1,,1,1
1006992,4,1991,18,,CHEROKEE,4,,1,,1,1
1007004,1,1992,8,,CARAVAN,1,,1,,1,1
1007004,2,1990,24,,SABLE,1,,1,,1,1
1007004,3,1987,5,,VALANTE,1,,1,,1,1
1007009,1,1976,6,,NOVA,1,,1,,1,1
1007009,2,1991,24,,EAGLE TALON,2,,1,,1,1
1007009,3,1995,4,,CENTURY,6,,1,,1,1
1007019,1,1989,29,,SUNDANCE,1,,1,,1,1
1007019,2,1991,24,,COUGAR,1,,1,,1,1
1007024,1,1995,4,,REGAL,1,,1,,1,1
1007024,2,1993,9,,PROBE,2,,1,,1,1
1007024,3,1991,9,,TAURUS,1,,1,,1,1
1007024,4,1987,37,,SUPRA,2,,1,,1,1
1007024,5,1987,97,TRIUMPH,300/MOTORCYCLE,8,,1,,1,1
1007028,1,1983,29,,VAN,3,,1,,1,1
1007028,2,1985,4,,REGAL,2,,1,,1,1
1007034,1,1996,13,,CIVIC,1,,1,,1,1
1007043,1,1997,6,,LUMINA,1,,1,,1,1
1007043,2,1988,6,,ASTROVAN,3,,1,,1,1
1007055,1,1995,37,,COROLLA,1,,1,,1,1
1007066,1,1998,35,,FORESTER,1,,1,,1,1
1007075,1,1996,13,,PASSPORT,4,,1,,1,1
1007084,1,1994,25,,300,1,,1,,1,1
1007084,2,1987,13,,ACCORD,1,,1,,1,1
1007088,1,1988,9,,F 150,7,,1,,1,1
1007088,2,1996,35,,LEGACY,6,,1,,1,1
1007088,3,1999,13,,CIVIC,1,,1,,1,1
1007095,1,1990,37,,COROLLA,1,,1,,1,1
1007095,2,1993,37,,COROLLA,1,,1,,1,1
1007112,1,1994,38,,PASSAT,1,,1,,1,1
1007112,2,1986,27,,CENTRA,1,,1,,1,1
1007122,1,1989,28,,CUTLASS SIERRA,1,,1,,1,1
1007124,1,1998,8,,NEON,1,,1,,1,1
1007128,1,1998,24,,MYSTIQUE,1,,1,,1,1
1007128,2,1996,9,,TAURUS,1,,1,,1,1
1007128,3,1983,22,,TOWN CAR,1,,1,,1,1
1007133,1,1987,39,,240,1,,1,,1,1
1007133,2,1993,39,,240,6,,1,,1,1
1007134,1,1989,97,EAGLE,PREMIER,1,,1,,1,1
1007134,2,1989,6,,BEAUVILLE,3,,1,,1,1
1007134,3,1990,27,,STANZA,1,,1,,1,1
1007139,1,1980,37,,COROLLA,1,,1,,1,1
1007139,2,1998,37,,SIENNA,3,,1,,1,1
1007160,1,1995,24,,SABLE,1,,1,,1,1
1007163,1,1976,5,,DEVILLE,1,,1,,1,1
1007168,1,1999,35,,IMPREZA,4,,1,,1,1
1007186,1,1994,9,,TEMPO,1,,1,,1,1
1007224,1,1978,6,,CLASSIC WAGON,6,,1,,1,1
1007225,1,1992,37,,COROLLA,1,,1,,1,1
1007225,2,8888,26,,DON'T KNOW,1,,1,,1,1
1007230,1,1992,9,,TAURUS,1,,1,,1,1
1007230,2,1996,7,,MINI VAN,3,,1,,1,1
1007230,3,1990,1,,INTEGRA,1,,1,,1,1
1007240,1,1997,13,,PRELUDE,2,,1,,1,1
1007248,1,1989,6,,CAVALIER,1,,1,,1,1
1007248,2,1992,6,,LUMINA,1,,1,,1,1
1007270,1,1993,9,,TAURUS,6,,1,,1,1
1007274,1,1993,9,,CLUB WAGON,5,,1,,1,1
1007287,1,1983,6,,CAPRICE,1,,1,,1,1
1007523,1,1996,8,,STRATUS,1,,1,,1,1
1007524,1,1998,29,,VOYAGER,5,,1,,1,1
1007524,2,1989,6,,VAN,3,,1,,1,1
1007543,1,1989,28,,SIERRA,1,,1,,1,1
1007543,2,1975,29,,DUSTER,1,,1,,1,1
1007556,1,1999,7,,CIRRUS,1,,1,,1,1
1007556,2,1995,7,,CONCORD,1,,1,,1,1
1007561,1,1995,9,,RANGER,7,,1,,1,1
1007569,1,1994,37,,COROLLA,1,,1,,1,1
1007569,2,2000,35,,OUTBACK,1,,1,,1,1
1007576,1,1989,8,,SPIRIT,1,,1,,1,1
1007579,1,1987,28,,DON'T KNOW,1,,1,,1,1
1007616,1,1989,29,,ACCLAIM,1,,1,,1,1
1007616,2,1998,37,,RADFORT,1,,1,,1,1
1007626,1,1991,9,,CONTOUR,6,,1,,1,1
1007633,1,1999,6,,SILVERADO,7,,1,,1,1
1007633,2,1990,23,,R-X7,4,,1,,1,1
1007633,3,1990,35,,LEGANZA,6,,1,,1,1
1007633,4,1989,23,,DON'T KNOW,7,,2,,1,1
1007635,1,1998,37,,CAMRY,1,,1,,1,1
1007635,2,1999,9,,TAURUS,1,,1,,1,1
1007636,1,1997,7,,TOWN & COUNTRY,3,,1,,1,1
1007636,2,1995,3,,740 IL,1,,1,,1,1
1007636,3,1989,27,,MAXIMA,1,,1,,1,1
1007636,4,1992,26,,3000 GT,4,,1,,1,1
1007637,1,1999,9,,EXPLORER,4,,1,,1,1
1007646,1,1997,8,,CHRYSLER,1,,1,,1,1
1007646,2,1998,8,,CARAVAN,3,,1,,1,1
1007646,3,1965,9,,FALCON,1,,1,,1,1
1007661,1,1999,30,,GRAND PRIX,1,,1,,1,1
1007661,2,1997,39,,DON'T KNOW,1,,1,,1,1
1007661,3,1988,9,,MUSTANG,2,,1,,1,1
1007664,1,1991,9,,ESCORT,2,,1,,1,1
1007664,2,1995,9,,WINDSTAR,3,,1,,1,1
