CHESCO,X,Y,SLOPE,FOURLNE300,INTERST800,REGRAIL300,RAILSTN100,PARKS500M,WATER100,CITBORO_10,DIST_WATER,DIST_RAILS,DIST_REGRA,DIST_PASSR,DIST_4LNE_,DIST_INTER,DIST_PARKS,PAL_WETLND,FARM92,PASTURE92,FOREST92,URBAN01,URBAN92,POPDEN90,MEDINC90,MEDHSEVAL_,PCT_WHITE_,PCT_SFHOME,PCT_POV_90,PCT_HSB_19,PCT_COLGRD
1,1620501.554,211178.482,1.395,0,0,0,0,0,1,0,0.00,17007.61,16286.75,500.01,6800.84,12021.00,6020.89,0,0,1,0,0,0,1,0,128700,100,0,0,0,0
1,1606001.331,210678.475,5.962,0,0,0,0,0,0,0,3000.05,22896.86,22611.19,3640.11,5000.08,10124.38,2000.03,0,0,0,1,0,0,70,40984,149100,98,81,3,28,3
1,1606501.339,210678.475,9.188,0,0,0,0,0,0,0,2915.52,22611.19,22327.46,3535.59,4609.84,10307.92,2061.58,0,0,0,1,0,0,82,47500,149100,98,86,3,19,3
1,1607001.347,210678.475,12.042,0,0,0,0,0,0,0,2692.62,22327.46,22051.42,3500.05,4242.71,10512.06,2236.10,1,0,0,1,0,0,144,47500,149100,98,86,3,19,3
1,1607501.354,210678.475,8.355,0,0,0,0,0,0,0,2549.55,22051.42,21783.36,3535.59,3905.19,10735.62,2500.04,0,0,0,1,0,0,81,47500,149100,98,86,3,19,3
1,1608001.362,210678.475,5.758,0,0,0,0,0,0,0,2500.04,21783.36,21506.14,3640.11,3605.61,10966.02,2828.47,0,0,0,1,0,0,139,47500,149100,98,86,3,19,3
1,1608501.370,210678.475,3.548,0,0,0,0,0,0,0,2500.04,21523.57,21219.42,3807.95,3354.15,11180.51,3201.61,0,0,0,1,0,0,120,47500,149100,98,86,3,19,3
1,1609001.377,210678.475,2.830,0,0,0,0,0,0,0,2500.04,21272.38,20940.71,4031.19,3162.33,11412.89,3605.61,0,0,0,1,0,0,120,47500,149100,98,86,3,19,3
1,1609501.385,210678.475,0.785,0,0,0,0,0,0,0,2500.04,21030.06,20670.34,4301.23,3041.43,11662.08,4031.19,0,0,0,1,0,0,120,47500,149100,98,86,3,19,3
1,1610001.393,210678.475,2.195,0,0,0,0,0,0,0,2549.55,20796.96,20408.65,4609.84,3000.05,11885.05,4301.23,0,0,0,1,0,0,120,47500,149100,98,86,3,19,3
1,1610501.400,210678.475,1.331,0,0,0,0,0,0,0,2692.62,20573.36,20155.96,4949.82,3000.05,12083.23,3905.19,1,0,0,0,0,0,153,47500,149100,98,86,3,19,3
1,1611001.408,210678.475,1.361,0,0,0,0,0,0,0,2915.52,20359.59,19912.61,5315.16,3000.05,12298.56,3535.59,0,0,1,0,0,0,153,47500,149100,98,86,3,19,3
1,1611501.416,210678.475,1.992,1,0,0,0,0,0,0,3162.33,20155.96,19678.97,5700.97,2915.52,12530.16,3201.61,0,0,1,0,0,0,249,47500,149100,98,86,3,19,3
